frame,video_name,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
45,33_dg_3.mp4,0.14291283,0.15088153,0.24955323,0.28942823,0.72987604,1.0,0.39223492,0.55827725,1.0,0.77693164,0.6488888,0.5869072,0.30602488,1.0,0.47086442,0.018242255,0.99824476,0.29339918,0.025282165,0.03611461
46,33_dg_3.mp4,0.14575076,0.13849942,0.34533787,0.28942823,0.6953637,1.0,0.35617965,0.942204,1.0,0.624801,0.62264496,0.5978671,0.3574528,1.0,0.52509207,0.020324875,0.9955042,0.30958623,0.02400788,0.048561364
47,33_dg_3.mp4,0.17686936,0.14047596,0.42419237,0.28942823,0.6965325,1.0,0.34103543,0.90633136,1.0,0.604938,0.6034591,0.57405335,0.34539637,1.0,0.54290414,0.017552897,0.987663,0.25601876,0.020429999,0.051060446
48,33_dg_3.mp4,0.16403143,0.12911366,0.52707165,0.28942823,0.6962471,1.0,0.3700345,0.92740875,1.0,0.5462082,0.56569946,0.7721433,0.29901502,1.0,0.44230053,0.016701171,0.9959676,0.22099109,0.037584256,0.03559554
49,33_dg_3.mp4,0.15286137,0.11573041,0.47903457,0.28817743,0.5868783,1.0,0.48179296,0.6331515,1.0,0.49061903,0.57190603,0.6918558,0.34099904,1.0,0.47154424,0.0221501,0.9984328,0.20748034,0.035823196,0.033168826
50,33_dg_3.mp4,0.15771931,0.13426867,0.5466831,0.288928,0.5684872,1.0,0.46883553,0.83960664,1.0,0.4781487,0.5875371,0.7274304,0.32076845,1.0,0.49645698,0.021529472,0.9909864,0.2933772,0.045699913,0.043301288
51,33_dg_3.mp4,0.15187174,0.12239536,0.4818891,0.28942823,0.5908859,1.0,0.45716214,0.68220985,1.0,0.5017439,0.59971976,0.7571108,0.29122445,1.0,0.48375556,0.016910227,0.996132,0.29765648,0.033636857,0.028295223
52,33_dg_3.mp4,0.15504882,0.14186019,0.48029953,0.288928,0.61640096,1.0,0.43144014,0.841137,1.0,0.49304417,0.56685114,0.6933973,0.3163502,1.0,0.5659667,0.019788885,0.99765766,0.31840602,0.020710856,0.037598204
53,33_dg_3.mp4,0.14920703,0.13424084,0.48421273,0.288928,0.65012205,1.0,0.49453264,0.9770636,1.0,0.48697558,0.6487406,0.759762,0.331037,1.0,0.586154,0.019960998,0.99930143,0.3470789,0.058587514,0.028740069
54,33_dg_3.mp4,0.12591262,0.115623996,0.63710105,0.28942823,0.5544996,1.0,0.38425428,0.86987513,1.0,0.4336686,0.59769595,0.6539895,0.3532635,1.0,0.4232974,0.05795468,0.99592954,0.40441597,0.11203841,0.030153686
55,33_dg_3.mp4,0.13924117,0.11727371,0.6136752,0.28942823,0.55520564,1.0,0.360343,0.77149993,0.0,0.44592685,0.56089115,0.8124201,0.3441282,1.0,0.43725917,0.065137476,0.97543645,0.21714157,0.04956615,0.037034396
